"Total de Examen mi-semestre (EE) (Brut)","projet (CCTP) (Brut)","Note enseignant (Brut)","Outil externe Contrôle 1 PLaTon, jeudi 21 et vendredi 22 octobre (Brut)","Outil externe Contrôle 2 PLaTon, jeudi 9 - vendredi 10 décembre (Brut)","Total de Contrôles PLaTon (Brut)","Total de Note de TD (CCE) (Brut)","Total de Examen final (EEF) (Brut)","Total du cours (Brut)"
,,,,,0,0,,0
,,,,,0,0,,0
,,,,,0,0,,0
,,,,,0,0,,0
,,,,,0,0,,0
,,,,,0,0,,0
,,,,,0,0,,0
,,,,18.44,0,0,1.6,1.16
0.6,0,12,19.62,0,9.81,11.27,0.2,1.92
4.2,,9,3.08,5.94,4.51,7.5,1,3.22
5,,5,0,1.25,0.63,3.54,2.6,3.53
5.8,,,0,,0,0,,3.63
6,1,12,1.54,6.25,3.89,9.3,1.4,3.65
5.4,,8,,0,0,5.33,3.2,4.29
2,1,13,8.46,18.75,13.61,13.2,,4.47
1.6,10,11,15,17.81,16.41,12.8,0.4,4.48
4.2,3,8,17.31,18.13,17.72,11.24,3,4.54
8.2,5,10,6.15,8.13,7.14,9.05,2.4,5.37
5.4,,,3.08,6.88,4.98,4.98,5.8,5.52
8.4,5,10,,,0,6.67,3.6,5.54
4.6,13,10,16.15,,16.15,12.05,0.8,5.88
2,14,17,10.77,18.75,14.76,16.25,0.4,5.9
8,3,15,18.85,11.25,15.05,15.02,3.8,6.37
8.2,3,11,6.15,15.63,10.89,10.96,5.2,6.37
7.8,14,12,10.77,0,5.38,9.79,0.8,6.54
2.4,14,20,20,16.88,18.44,19.48,1,6.72
8.2,4,12,8.08,17.81,12.94,12.31,5.2,6.78
6.2,11,12,8.46,20,14.23,12.74,3,6.86
7.6,5,20,4.62,5.94,5.28,15.09,4.6,7
,13.5,16.6,20,5,12.5,15.23,0.8,7.07
9.4,3,15,9.62,11.25,10.43,13.48,5.4,7.13
5.6,,5,20,20,20,10,,7.25
7.6,12.5,15,0,0,0,10,3.4,7.26
9,7,15,13.85,11.25,12.55,14.18,4,7.38
8.8,4,14,16.92,15.31,16.12,14.71,5.6,7.45
9.2,4,19,13.85,10.94,12.39,16.8,4.6,7.46
