scientific_name,park_name,observations
Vicia benghalensis,Great Smoky Mountains,68
Neovison vison,Great Smoky Mountains,77
Prunus subcordata,Yosemite,138
Abutilon theophrasti,Redwood,84
Githopsis specularioides,Great Smoky Mountains,85
Elymus virginicus var. virginicus,Yosemite,112
Spizella pusilla,Yellowstone,228
Elymus multisetus,Great Smoky Mountains,39
Lysimachia quadrifolia,Yosemite,168
Diphyscium cumberlandianum,Yellowstone,250
Ludwigia peploides ssp. glabrescens,Redwood,103
Cistothorus platensis,Redwood,114
Setaria viridis var. viridis,Redwood,101
Arabis davidsonii,Yellowstone,279
Fabronia ciliaris,Great Smoky Mountains,72
Lunaria annua,Great Smoky Mountains,65
Quercus bicolor,Yosemite,143
Muhlenbergia rigens,Yosemite,165
Rubus idaeus ssp. strigosus,Yosemite,150
Polymnia canadensis,Great Smoky Mountains,80
Carduus nutans,Redwood,83
Ptilium crista-castrensis,Redwood,109
Elodea nuttallii,Yosemite,158
Larus philadelphia,Yosemite,167
Zizia trifoliata,Yosemite,135
Amaranthus retroflexus,Yellowstone,247
Geranium thunbergii,Yosemite,150
Scirpus cyperinus,Great Smoky Mountains,73
Viola glabella,Yellowstone,261
Scaphiopus holbrookii holbrookii,Yosemite,177
Glyceria striata,Yosemite,117
Veronica cusickii,Redwood,84
Festuca filiformis,Great Smoky Mountains,79
Rosa pinetorum,Redwood,96
Lysimachia nummularia,Yosemite,140
Sclerolinon digynum,Redwood,116
Camissonia sierrae ssp. alticola,Redwood,84
Festuca idahoensis,Yellowstone,239
Doellingeria infirma,Yellowstone,262
Viola macloskeyi ssp. pallens,Great Smoky Mountains,71
Cirsium arvense,Great Smoky Mountains,85
Elaeagnus umbellata,Yosemite,176
Cornus alternifolia,Yosemite,148
Portulaca oleracea,Great Smoky Mountains,76
Elaeagnus umbellata,Great Smoky Mountains,85
Solidago missouriensis var. missouriensis,Redwood,112
Silene parryi,Great Smoky Mountains,68
Itea virginica,Yellowstone,235
Ammoselinum butleri,Yellowstone,283
Platycladus orientalis,Great Smoky Mountains,25
Limnanthes alba ssp. versicolor,Yellowstone,246
Panicum rigidulum var. pubescens,Yosemite,158
Salix humilis var. humilis,Great Smoky Mountains,64
Hepatica nobilis,Yellowstone,281
Eriogonum nudum var. deductum,Redwood,88
Penstemon procerus,Great Smoky Mountains,67
Ericameria suffruticosa,Yellowstone,254
Chasmanthium latifolium,Yosemite,152
Sparganium emersum ssp. emersum,Great Smoky Mountains,80
Ribes rotundifolium,Yosemite,147
Pachysandra procumbens,Yellowstone,213
Helianthus annuus,Yellowstone,265
Blarina brevicauda,Redwood,77
Polygonum viviparum,Great Smoky Mountains,107
Astragalus purshii var. purshii,Yosemite,156
Orthocarpus luteus,Great Smoky Mountains,47
Liparis loeselii,Yosemite,157
Cornus canadensis,Redwood,89
Arctostaphylos uva-ursi,Yosemite,154
Isatis tinctoria,Yosemite,127
Eschscholzia hypecoides,Redwood,106
Tofieldia glabra,Great Smoky Mountains,75
Odocoileus virginianus,Great Smoky Mountains,36
Galium pilosum var. puncticulosum,Redwood,137
Physaria didymocarpa var. didymocarpa,Yellowstone,244
Thamnophis sirtalis sirtalis,Great Smoky Mountains,63
Krigia montana,Yellowstone,214
Puma concolor,Redwood,92
Sphaeralcea coccinea,Redwood,108
Hypentelium nigricans,Great Smoky Mountains,54
Cryptantha affinis,Redwood,105
Pellaea atropurpurea,Redwood,115
Platanus occidentalis,Great Smoky Mountains,98
Plantago rugelii,Yellowstone,223
